id,match_id,homepos,awaypos,elapsed,elapsed_plus
379029,1729,56,44,25,
379251,1729,54,46,45,1
379443,1729,54,46,70,
379575,1729,55,45,90,5
375608,1730,65,35,27,
375663,1730,61,39,45,2
375787,1730,65,35,74,
375909,1730,66,34,90,3
377876,1731,45,55,25,
377944,1731,43,57,45,1
378011,1731,48,52,70,
378069,1731,46,54,90,4
376411,1732,50,50,25,
376739,1732,56,44,45,
377303,1732,41,59,69,
377621,1732,52,48,90,1
378668,1733,51,49,25,
378781,1733,54,46,45,
379034,1733,49,51,70,
379254,1733,52,48,90,
376438,1734,46,54,25,
376819,1734,59,41,45,3
377333,1734,51,49,70,
377673,1734,51,49,90,6
376406,1735,49,51,25,
376755,1735,49,51,45,
377393,1735,53,47,76,
377588,1735,53,47,90,
376417,1736,58,42,25,
376824,1736,47,53,45,3
377330,1736,51,49,70,
377668,1736,47,53,90,4
376398,1737,49,51,24,
377348,1737,50,50,70,
377672,1737,53,47,90,5
378256,1738,57,43,27,
378327,1738,64,36,45,2
378473,1738,65,35,72,
464186,1739,59,41,25,
464546,1739,58,42,45,1
465422,1739,59,41,71,
465719,1739,60,40,90,1
465263,1740,63,37,66,
465687,1740,62,38,90,1
464068,1741,48,52,25,
464503,1741,57,43,45,
465325,1741,49,51,70,
465671,1741,45,55,90,
464152,1742,55,45,25,
464675,1742,55,45,45,
465406,1742,55,45,70,
465683,1742,53,47,90,
463760,1744,49,51,25,
464300,1744,50,50,45,2
465009,1744,51,49,70,
465524,1744,52,48,90,4
464052,1745,57,43,25,
464475,1745,54,46,45,
465441,1745,54,46,70,
465651,1745,54,46,90,
463781,1746,51,49,25,
464275,1746,49,51,45,1
465000,1746,52,48,70,
465462,1746,57,43,90,1
462767,1747,45,55,25,
462894,1747,51,49,45,1
463012,1747,52,48,70,
463082,1747,51,49,90,5
464262,1748,55,45,25,
464331,1748,56,44,45,1
465049,1748,49,51,70,
465512,1748,50,50,90,2
467211,1749,59,41,25,
467533,1749,53,47,45,
468069,1749,53,47,71,
468350,1749,51,49,89,
468688,1750,36,64,25,
468749,1750,47,53,45,
468939,1750,71,29,70,
469028,1750,49,51,90,
466452,1751,48,52,26,
466544,1751,48,52,45,1
466667,1751,55,45,72,
466758,1751,54,46,90,2
467198,1752,58,42,25,
467507,1752,45,55,45,
468085,1752,43,57,74,
468342,1752,53,47,90,1
472965,1753,41,59,25,
473024,1753,44,56,45,1
473090,1753,48,52,70,
473148,1753,55,45,90,4
470968,1754,49,51,25,
471245,1754,51,49,45,
471661,1754,55,45,70,
471850,1754,55,45,90,
467275,1755,56,44,25,
467521,1755,57,43,45,
468236,1755,59,41,70,
468373,1755,59,41,90,
467313,1756,51,49,25,
467550,1756,47,53,45,2
468197,1756,45,55,76,
468406,1756,45,55,90,1
467209,1757,41,59,25,
467542,1757,37,63,45,
468065,1757,48,52,70,
468372,1757,45,55,90,1
467202,1758,52,48,25,
467561,1758,54,46,45,2
468058,1758,58,42,70,
468377,1758,55,45,90,2
477661,1759,62,38,25,
477776,1759,57,43,45,2
477917,1759,55,45,70,
478076,1759,52,48,90,7
479415,1760,50,50,25,
479497,1760,65,35,45,
479651,1760,52,48,69,
479719,1760,51,49,90,
478368,1761,53,47,25,
478546,1761,48,52,45,
478910,1761,54,46,70,
479085,1761,55,45,90,
478375,1762,51,49,25,
478584,1762,57,43,45,3
478938,1762,51,49,70,
479140,1762,55,45,90,4
481430,1763,60,40,25,
481700,1763,67,33,45,2
482230,1763,58,42,70,
482654,1763,56,44,90,3
481436,1764,57,43,25,
481721,1764,48,52,45,
482276,1764,38,62,70,
482684,1764,45,55,90,
480587,1765,43,57,25,
480748,1765,43,57,45,
481034,1765,44,56,70,
481320,1765,40,60,90,
482207,1766,53,47,25,
482588,1766,49,51,45,
482837,1766,29,71,57,
482956,1766,52,48,71,
483231,1766,53,47,90,
478377,1767,60,40,25,
478560,1767,53,47,45,
478909,1767,52,48,70,
479108,1767,55,45,90,1
477663,1768,47,53,25,
477766,1768,51,49,45,
477947,1768,55,45,70,
478034,1768,57,43,90,
487262,1769,59,41,26,
487623,1769,59,41,45,1
488163,1769,53,47,72,
488495,1769,58,42,90,3
487241,1770,56,44,25,
487573,1770,58,42,45,
488115,1770,53,47,70,
488438,1770,53,47,90,1
487255,1771,47,53,25,
487574,1771,50,50,45,
488145,1771,47,53,71,
488470,1771,50,50,90,1
489993,1772,83,17,26,
490225,1772,61,39,45,1
490684,1772,59,41,72,
490909,1772,55,45,90,1
487260,1773,54,46,26,
487595,1773,50,50,45,1
488176,1773,47,53,72,
488536,1773,54,46,90,1
487202,1774,58,42,24,
487546,1774,60,40,45,
488119,1774,48,52,70,
488457,1774,50,50,90,
487237,1775,51,49,25,
487592,1775,55,45,45,2
488097,1775,52,48,70,
488497,1775,52,48,90,5
486529,1776,47,53,28,
486563,1776,39,61,45,1
486664,1776,49,51,72,
486763,1776,48,52,90,
488676,1777,42,58,25,
488711,1777,,,45,
488786,1777,47,53,70,
488877,1777,49,51,90,
491519,1778,53,47,25,
491750,1778,53,47,45,
492178,1778,53,47,70,
492425,1778,52,48,90,
495472,1779,41,59,25,
495863,1779,43,57,45,2
496409,1779,48,52,72,
496721,1779,53,47,90,
499966,1780,50,50,25,
500187,1780,45,55,45,
500562,1780,69,31,70,
500816,1780,56,44,90,
498826,1781,47,53,25,
498979,1781,59,41,45,1
499298,1781,75,25,66,
499478,1781,53,47,90,1
497164,1782,39,61,25,
497290,1782,40,60,45,1
497582,1782,42,58,70,
497748,1782,40,60,90,4
495409,1783,56,44,25,
495770,1783,53,47,45,
496384,1783,50,50,72,
496712,1783,51,49,90,1
495416,1784,45,55,25,
495789,1784,47,53,45,
496382,1784,45,55,70,
496727,1784,54,46,90,
495423,1785,65,35,25,
495811,1785,57,43,45,1
496381,1785,53,47,70,
496741,1785,54,46,90,1
495428,1786,57,43,26,
495803,1786,59,41,45,1
496387,1786,51,49,72,
496726,1786,55,45,90,2
502033,1787,45,55,25,
502088,1787,44,56,45,
502176,1787,48,52,70,
495432,1788,66,34,25,
495838,1788,62,38,45,2
496407,1788,60,40,70,
496791,1788,61,39,90,4
513163,1789,48,52,25,
513224,1789,55,45,45,
513297,1789,56,44,70,
507191,1790,47,53,25,
507509,1790,51,49,45,3
507975,1790,53,47,70,
508293,1790,51,49,90,2
510328,1791,45,55,25,
510544,1791,47,53,45,2
510993,1791,46,54,70,
511442,1791,51,49,90,7
507192,1792,50,50,25,
507455,1792,56,44,45,
507986,1792,50,50,70,
508218,1792,56,44,90,
507180,1793,44,56,24,
507462,1793,46,54,45,
507951,1793,62,38,70,
508261,1793,53,47,90,1
509600,1794,42,58,26,
509789,1794,46,54,45,2
509983,1794,49,51,72,
510293,1794,49,51,90,5
510279,1795,61,39,25,
510531,1795,57,43,45,
511083,1795,52,48,70,
511370,1795,53,47,90,
507201,1796,55,45,25,
507484,1796,54,46,45,
507991,1796,56,44,70,
508279,1796,53,47,90,
507337,1797,45,55,25,
507504,1797,41,59,45,1
507953,1797,53,47,71,
508237,1797,51,49,90,1
510966,1798,53,47,24,
511289,1798,55,45,43,
511797,1798,60,40,70,
512018,1798,58,42,90,
517093,1799,62,38,25,
517176,1799,75,25,45,
517489,1799,70,30,70,
517588,1799,80,20,90,
515559,1800,45,55,25,
515892,1800,49,51,45,3
516360,1800,54,46,70,
516677,1800,60,40,90,5
521759,1801,59,41,25,
521804,1801,58,42,45,
521887,1801,52,48,70,
521943,1801,53,47,90,
519855,1802,39,61,21,
520118,1802,63,37,41,
520477,1802,65,35,61,
520879,1802,61,39,90,1
515581,1803,63,37,25,
515876,1803,60,40,45,1
516398,1803,54,46,72,
516686,1803,49,51,90,1
515587,1804,38,62,27,
515867,1804,34,66,45,1
516611,1804,41,59,90,1
514997,1805,52,48,26,
515038,1805,50,50,45,1
515084,1805,23,77,63,
515179,1805,56,44,90,2
515569,1806,35,65,24,
515887,1806,47,53,45,1
516371,1806,43,57,70,
516629,1806,46,54,90,
519274,1807,51,49,23,
519541,1807,56,44,43,
519941,1807,52,48,70,
520197,1807,46,54,88,
515585,1808,41,59,25,
515875,1808,49,51,45,
516414,1808,49,51,70,
516647,1808,52,48,90,
526865,1809,56,44,25,
527178,1809,57,43,45,
527742,1809,65,35,70,
528054,1809,70,30,90,
526876,1810,46,54,25,
527221,1810,52,48,45,2
527703,1810,48,52,70,
528066,1810,48,52,90,3
528274,1811,34,66,25,
528378,1811,32,68,45,4
528499,1811,37,63,70,
528610,1811,38,62,90,4
526840,1812,58,42,25,
527237,1812,53,47,45,
527705,1812,55,45,70,
528017,1812,55,45,90,1
525996,1813,46,54,24,
526089,1813,55,45,44,
526207,1813,50,50,70,
