match_id,country_id_x,league_id,season,stage,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,country_name,country_id_y,league_name,home_team_name,home_team_short_name,away_team_name,away_team_short_name,home_possession,away_possession,has_possession_data,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_corners,away_corners,home_crosses,away_crosses,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,goal_difference,total_goals,match_result,venue,opponent_name,barca_goals,opponent_goals,barca_possession,opponent_possession,barca_shots_on,opponent_shots_on,barca_shots_off,opponent_shots_off,barca_corners,opponent_corners,barca_crosses,opponent_crosses,barca_fouls,opponent_fouls,barca_yellow_cards,opponent_yellow_cards,barca_red_cards,opponent_red_cards,barca_result,barca_total_shots,opponent_total_shots,barca_goal_difference,barca_shot_accuracy,barca_points
21521,21518,21518,2008/2009,1,31/08/2008 00:00,8388,8634,1,0,Spain,21518,Spain LIGA BBVA,CD Numancia,NUM,FC Barcelona,BAR,26.0,74.0,True,2,6,3,15,2,7,13,33,13,9,0,2,0,0,1,1,Home Win,Away,CD Numancia,0,1,74.0,26.0,6,2,15,3,7,2,33,13,9,13,2,0,0,0,Loss,21,5,-1,28.57142857142857,0
21535,21518,21518,2008/2009,10,08/11/2008 00:00,8634,10281,6,0,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,Real Valladolid,VAL,62.0,38.0,True,7,3,7,0,8,4,8,6,6,5,1,1,0,0,6,6,Home Win,Home,Real Valladolid,6,0,62.0,38.0,7,3,7,0,8,4,8,6,6,5,1,1,0,0,Win,14,3,6,50.0,3
21547,21518,21518,2008/2009,11,16/11/2008 00:00,8479,8634,0,2,Spain,21518,Spain LIGA BBVA,RC Recreativo,HUE,FC Barcelona,BAR,34.0,66.0,True,3,7,2,10,5,5,10,25,21,11,3,2,0,0,-2,2,Away Win,Away,RC Recreativo,2,0,66.0,34.0,7,3,10,2,5,5,25,10,11,21,2,3,0,0,Win,17,5,2,41.17647058823529,3
21550,21518,21518,2008/2009,12,23/11/2008 00:00,8634,8305,1,1,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,Getafe CF,GET,67.0,33.0,True,7,7,9,1,13,5,26,8,18,18,3,4,0,0,0,2,Draw,Home,Getafe CF,1,1,67.0,33.0,7,7,9,1,13,5,26,8,18,18,3,4,0,0,Draw,16,8,0,43.75,1
21564,21518,21518,2008/2009,13,29/11/2008 00:00,8302,8634,0,3,Spain,21518,Spain LIGA BBVA,Sevilla FC,SEV,FC Barcelona,BAR,35.0,65.0,True,3,13,7,8,1,2,15,15,14,13,0,3,1,0,-3,3,Away Win,Away,Sevilla FC,3,0,65.0,35.0,13,3,8,7,2,1,15,15,13,14,3,0,0,1,Win,21,10,3,61.904761904761905,3
21572,21518,21518,2008/2009,14,06/12/2008 00:00,8634,10267,4,0,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,Valencia CF,VAL,59.0,41.0,True,5,2,8,0,3,3,7,14,15,19,0,5,0,0,4,4,Home Win,Home,Valencia CF,4,0,59.0,41.0,5,2,8,0,3,3,7,14,15,19,0,5,0,0,Win,13,2,4,38.46153846153847,3
21578,21518,21518,2008/2009,15,13/12/2008 00:00,8634,8633,2,0,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,Real Madrid CF,REA,73.0,27.0,True,10,3,4,2,12,4,31,10,13,17,3,5,0,0,2,2,Home Win,Home,Real Madrid CF,2,0,73.0,27.0,10,3,4,2,12,4,31,10,13,17,3,5,0,0,Win,14,5,2,71.42857142857143,3
21593,21518,21518,2008/2009,16,21/12/2008 00:00,10205,8634,1,2,Spain,21518,Spain LIGA BBVA,Villarreal CF,VIL,FC Barcelona,BAR,39.0,61.0,True,1,8,6,4,3,8,15,17,15,18,3,3,0,0,-1,3,Away Win,Away,Villarreal CF,2,1,61.0,39.0,8,1,4,6,8,3,17,15,18,15,3,3,0,0,Win,12,7,1,66.66666666666666,3
21603,21518,21518,2008/2009,17,03/01/2009 00:00,8634,8661,3,1,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,RCD Mallorca,MAL,68.0,32.0,True,7,3,5,2,5,0,25,4,12,14,4,8,0,0,2,4,Home Win,Home,RCD Mallorca,3,1,68.0,32.0,7,3,5,2,5,0,25,4,12,14,4,8,0,0,Win,12,5,2,58.333333333333336,3
21614,21518,21518,2008/2009,18,11/01/2009 00:00,8371,8634,2,3,Spain,21518,Spain LIGA BBVA,CA Osasuna,OSA,FC Barcelona,BAR,33.0,67.0,True,3,8,0,8,2,7,11,12,11,9,2,3,0,0,-1,5,Away Win,Away,CA Osasuna,3,2,67.0,33.0,8,3,8,0,7,2,12,11,9,11,3,2,0,0,Win,16,3,1,50.0,3
21625,21518,21518,2008/2009,19,17/01/2009 00:00,8634,9783,5,0,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,RC Deportivo de La Coruña,COR,64.0,36.0,True,9,1,7,0,9,4,25,10,8,10,0,0,0,1,5,5,Home Win,Home,RC Deportivo de La Coruña,5,0,64.0,36.0,9,1,7,0,9,4,25,10,8,10,0,0,0,1,Win,16,1,5,56.25,3
21630,21518,21518,2008/2009,2,13/09/2008 00:00,8634,8696,1,1,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,Racing Santander,SAN,70.0,30.0,True,13,1,6,0,9,1,18,4,9,21,1,7,0,0,0,2,Draw,Home,Racing Santander,1,1,70.0,30.0,13,1,6,0,9,1,18,4,9,21,1,7,0,0,Draw,19,1,0,68.42105263157895,1
21638,21518,21518,2008/2009,20,24/01/2009 00:00,8634,8388,4,1,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,CD Numancia,NUM,73.0,27.0,True,8,1,10,2,3,2,26,14,14,13,2,4,0,0,3,5,Home Win,Home,CD Numancia,4,1,73.0,27.0,8,1,10,2,3,2,26,14,14,13,2,4,0,0,Win,18,3,3,44.44444444444444,3
21648,21518,21518,2008/2009,21,01/02/2009 00:00,8696,8634,1,2,Spain,21518,Spain LIGA BBVA,Racing Santander,SAN,FC Barcelona,BAR,33.0,67.0,True,3,2,3,4,2,3,9,14,16,12,2,3,0,0,-1,3,Away Win,Away,Racing Santander,2,1,67.0,33.0,2,3,4,3,3,2,14,9,12,16,3,2,0,0,Win,6,6,1,33.33333333333333,3
21661,21518,21518,2008/2009,22,08/02/2009 00:00,8634,9869,3,1,Spain,21518,Spain LIGA BBVA,FC Barcelona,BAR,Real Sporting de Gijón,SPG,75.0,25.0,True,5,2,8,1,7,2,23,7,13,14,2,3,0,0,2,4,Home Win,Home,Real Sporting de Gijón,3,1,75.0,25.0,5,2,8,1,7,2,23,7,13,14,2,3,0,0,Win,13,3,2,38.46153846153847,3
21668,21518,21518,2008/2009,23,14/02/2009 00:00,8603,8634,2,2,Spain,21518,Spain LIGA BBVA,Real Betis Balompié,BET,FC Barcelona,BAR,31.0,69.0,True,4,13,2,9,1,7,7,36,17,10,3,2,0,0,0,4,Draw,Away,Real Betis Balompié,2,2,69.0,31.0,13,4,9,2,7,1,36,7,10,17,2,3,0,0,Draw,22,6,0,59.09090909090909,1
